"name_team1","name_team2","name_match_id","name_match_id_url","name_team_name","name_team_player_name","name_team_player_url","name_team_player_overs","name_team_player_maiden","name_team_player_runs","name_team_player_wickets","name_team_player_economy","name_team_player_zeros","name_team_player_fours","name_team_player_sixes","name_team_player_wides","name_team_player_noballs"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Arshdeep Singh","https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976","4","0","20","2","5.00","12","2","0","0","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Jasprit Bumrah","https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383","4","0","18","2","4.50","14","2","0","0","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Axar Patel","https://www.espncricinfo.com/cricketers/axar-patel-554691","4","0","49","1","12.25","8","5","3","2","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Kuldeep Yadav","https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235","4","0","45","0","11.25","6","3","3","0","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Hardik Pandya","https://www.espncricinfo.com/cricketers/hardik-pandya-625371","3","0","20","3","6.66","9","1","1","1","1"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Ravindra Jadeja","https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675","1","0","12","0","12.00","0","0","1","0","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Marco Jansen","https://www.espncricinfo.com/cricketers/marco-jansen-696401","4","0","49","1","12.25","4","5","2","1","1"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Keshav Maharaj","https://www.espncricinfo.com/cricketers/keshav-maharaj-267724","3","0","23","2","7.66","10","3","1","0","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Kagiso Rabada","https://www.espncricinfo.com/cricketers/kagiso-rabada-550215","4","0","36","1","9.00","8","2","2","2","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Aiden Markram","https://www.espncricinfo.com/cricketers/aiden-markram-600498","2","0","16","0","8.00","1","0","1","0","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Anrich Nortje","https://www.espncricinfo.com/cricketers/anrich-nortje-481979","4","0","26","2","6.50","7","2","0","2","0"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Tabraiz Shamsi","https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145","3","0","26","0","8.66","4","1","1","1","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","India","Arshdeep Singh","https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976","2","0","17","0","8.50","5","3","0","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","India","Jasprit Bumrah","https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383","2.4","0","12","2","4.50","8","1","0","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","India","Axar Patel","https://www.espncricinfo.com/cricketers/axar-patel-554691","4","0","23","3","5.75","10","0","1","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","India","Kuldeep Yadav","https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235","4","0","19","3","4.75","12","2","0","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","India","Ravindra Jadeja","https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675","3","0","16","0","5.33","6","1","0","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","India","Hardik Pandya","https://www.espncricinfo.com/cricketers/hardik-pandya-625371","1","0","14","0","14.00","1","1","1","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","England","Reece Topley","https://www.espncricinfo.com/cricketers/reece-topley-461632","3","0","25","1","8.33","8","3","1","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","England","Jofra Archer","https://www.espncricinfo.com/cricketers/jofra-archer-669855","4","0","33","1","8.25","7","4","0","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","England","Sam Curran","https://www.espncricinfo.com/cricketers/sam-curran-662973","2","0","25","1","12.50","3","2","2","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","England","Adil Rashid","https://www.espncricinfo.com/cricketers/adil-rashid-244497","4","0","25","1","6.25","9","3","0","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","England","Chris Jordan","https://www.espncricinfo.com/cricketers/chris-jordan-288992","3","0","37","3","12.33","4","0","4","0","0"
"England","India","T20I # 2724","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard","England","Liam Livingstone","https://www.espncricinfo.com/cricketers/liam-livingstone-403902","4","0","24","0","6.00","9","1","1","1","0"
"Afghanistan","South Africa","T20I # 2723","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard","Afghanistan","Naveen-ul-Haq","https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447","3","0","15","0","5.00","12","2","0","1","0"
"Afghanistan","South Africa","T20I # 2723","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard","Afghanistan","Fazalhaq Farooqi","https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175","2","0","11","1","5.50","9","2","0","1","0"
"Afghanistan","South Africa","T20I # 2723","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard","Afghanistan","Rashid Khan","https://www.espncricinfo.com/cricketers/rashid-khan-793463","1","0","8","0","8.00","2","1","0","0","0"
"Afghanistan","South Africa","T20I # 2723","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard","Afghanistan","Azmatullah Omarzai","https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429","1.5","0","18","0","9.81","6","2","1","0","1"
"Afghanistan","South Africa","T20I # 2723","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard","Afghanistan","Gulbadin Naib","https://www.espncricinfo.com/cricketers/gulbadin-naib-352048","1","0","8","0","8.00","2","1","0","0","0"
