"batting_team1","batting_team2","batting_match_id","batting_match_id_url","batting_selection3_teams","batting_selection3_player_amemm","batting_selection3_player_url","batting_selection3_player_runs","batting_selection3_player_balls","batting_selection3_player_fours","batting_selection3_player_sixs","batting_selection3_player_SR","batting_selection3_player_out_or_not"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Rohit Sharma (c)","https://www.espncricinfo.com/cricketers/rohit-sharma-34102","9","5","2","0","180.00","c Klaasen b Maharaj"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Virat Kohli","https://www.espncricinfo.com/cricketers/virat-kohli-253802","76","59","6","2","128.81","c Rabada b Jansen"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Rishabh Pant †","https://www.espncricinfo.com/cricketers/rishabh-pant-931581","0","2","0","0","0.00","c †de Kock b Maharaj"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Suryakumar Yadav","https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507","3","4","0","0","75.00","c Klaasen b Rabada"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Axar Patel","https://www.espncricinfo.com/cricketers/axar-patel-554691","47","31","1","4","151.61","run out (†de Kock)"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Shivam Dube","https://www.espncricinfo.com/cricketers/shivam-dube-714451","27","16","3","1","168.75","c Miller b Nortje"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Hardik Pandya","https://www.espncricinfo.com/cricketers/hardik-pandya-625371","5","2","1","0","250.00","not out"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","India","Ravindra Jadeja","https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675","2","2","0","0","100.00","c Maharaj b Nortje"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Reeza Hendricks","https://www.espncricinfo.com/cricketers/reeza-hendricks-269280","4","5","1","0","80.00","b Bumrah"
"India","South Africa","T20I # 2729","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard","South Africa","Quinton de Kock †","https://www.espncricinfo.com/cricketers/quinton-de-kock-379143","39","31","4","1","125.80","c Kuldeep Yadav b Arshdeep Singh"
