name,team,battingStyle,bowlingStyle,playingRole,age
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,22y 155d
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,26y 39d
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,22y 141d
Mohammad Ishaq,Afghanistan,Right hand Bat,,Wicketkeeper Batter,19y 90d
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,31y 73d
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,25y 224d
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,24y 38d
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,32y 332d
Karim Janat,Afghanistan,Right hand Bat,Right arm Medium,Bowling Allrounder,25y 264d
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,39y 121d
Nangeyalia Kharote,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,20y 6d
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,29y 265d
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,23y 222d
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,24y 221d
Noor Ahmad,Afghanistan,Right hand Bat,Left arm Wrist spin,Bowler,19y 119d
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,23y 34d
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,28y 46d
Travis Head,Australia,Left hand Bat,Right arm Offbreak,Top order Batter,30y 124d
Josh Inglis,Australia,Right hand Bat,,Wicketkeeper Batter,29y 58d
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,36y 127d
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,37y 187d
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,32y 194d
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,24y 333d
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,35y 200d
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,34y 259d
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,30y 200d
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,30y 359d
Nathan Ellis,Australia,Right hand Bat,Right arm Fast medium,Bowler,29y 222d
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,33y 114d
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,34y 92d
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,32y 31d
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,25y 263d
Jaker Ali,Bangladesh,Right hand Bat,,Wicketkeeper Batter,26y 82d
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,29y 214d
Tanzid Hasan,Bangladesh,Left hand Bat,,Opening Batter,23y 165d
Towhid Hridoy,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,23y 162d
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,29y 154d
Mahmudullah,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,38y 100d
Rishad Hossain,Bangladesh,Right hand Bat,Legbreak Googly,Allrounder,21y 304d
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,37y 51d
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder,31y 79d
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Fast medium,Bowling Allrounder,21y 207d
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,29y 41d
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,28y 251d
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,22y 346d
Tanvir Islam,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,27y 202d
Navneet Dhaliwal,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter,35y 205d
Aaron Johnson,Canada,Right hand Bat,Right arm Offbreak,Batter,33y 47d
Shreyas Movva,Canada,Right hand Bat,,Wicketkeeper Batter,30y 241d
Ravinderpal Singh,Canada,Right hand Bat,Right arm Offbreak,Batter,35y 201d
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,37y 174d
Dilpreet Bajwa,Canada,Right hand Bat,Right arm Offbreak,Allrounder,21y 97d
Junaid Siddiqui,Canada,Right hand Bat,Legbreak,Allrounder,39y 38d
Nicholas Kirton,Canada,Left hand Bat,,Batting Allrounder,25y 362d
Pargat Singh,Canada,Right hand Bat,Right arm Offbreak,Allrounder,32y 19d
Rayyan Pathan,Canada,Right hand Bat,Right arm Fast medium,Batting Allrounder,32y 148d
Harsh Thaker,Canada,Right hand Bat,Right arm Offbreak,Allrounder,26y 191d
Nikhil Dutta,Canada,Right hand Bat,Right arm Offbreak,Bowler,29y 202d
Jeremy Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler,37y 103d
Dilon Heyliger,Canada,Right hand Bat,Right arm Medium,Bowler,34y 194d
Rishiv Joshi,Canada,Right hand Bat,Left arm Medium fast,Bowler,23y 180d
Kaleem Sana,Canada,Right hand Bat,Left arm Medium fast,Bowler,30y 122d
Jos Buttler,England,Right hand Bat,,Wicketkeeper Batter,33y 235d
Jonny Bairstow,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter,34y 217d
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,25y 68d
Ben Duckett,England,Left hand Bat,Right arm Offbreak,Top order Batter,29y 196d
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,27y 246d
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,36y 317d
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,25y 332d
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batting Allrounder,25y 161d
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,30y 270d
Jofra Archer,England,Right hand Bat,Right arm Fast,Bowler,29y 29d
Tom Hartley,England,Left hand Bat,Slow Left arm Orthodox,Bowler,24y 363d
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,35y 209d
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,36y 73d
Reece Topley,England,Right hand Bat,Left arm Fast medium,Bowler,30y 69d
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,34y 110d
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,37y
Yashasvi Jaiswal,India,Left hand Bat,Legbreak,Opening Batter,22y 124d
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,35y 177d
Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter,26y 209d
Sanju Samson,India,Right hand Bat,,Wicketkeeper Batter,29y 171d
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,33y 229d
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,30y 202d
Shivam Dube,India,Left hand Bat,Right arm Medium,Allrounder,30y 309d
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,35y 146d
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,30y 101d
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,25y 85d
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,30y 146d
Yuzvendra Chahal,India,Right hand Bat,Legbreak Googly,Bowler,33y 282d
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,29y 138d
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler,30y 48d
